Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	1	56113	56796	-	copR	heavy metal response regulator transcription factor CopR	plus	STRESS	METAL	COPPER	COPPER	BLASTX	228	231	98.70	94.30	228	ACL13561.1	heavy metal response regulator transcription factor CopR	NA	NA
NA	contig_1	49424	50662	+	mexE	multidrug efflux RND transporter periplasmic adaptor subunit MexE	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	413	413	100.00	95.64	413	CAK15125.1	multidrug efflux RND transporter periplasmic adaptor subunit MexE	NA	NA
NA	contig_1	1049050	1049607	-	chrR	class I chromate reductase ChrR	plus	STRESS	METAL	CHROMATE	CHROMATE	BLASTX	186	186	100.00	94.09	186	AAK56853.1	class I chromate reductase ChrR	NA	NA
NA	contig_1	1871614	1872351	+	blaIMP-15	subclass B1 metallo-beta-lactamase IMP-15	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	246	246	100.00	100.00	246	WP_063860575.1	subclass B1 metallo-beta-lactamase IMP-15	NA	NA
NA	contig_1	1872509	1872886	+	blaIMP	IMP family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	PARTIALX	126	246	51.22	100.00	126	WP_063860575.1	subclass B1 metallo-beta-lactamase IMP-15	NA	NA
NA	contig_1	1872879	1873247	+	blaIMP	IMP family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	PARTIALX	123	246	50.00	100.00	123	WP_063860575.1	subclass B1 metallo-beta-lactamase IMP-15	NA	NA
NA	contig_1	1873783	1874334	+	aac(6')-Ib3	aminoglycoside N-acetyltransferase AAC(6')-Ib3	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	ALLELEX	184	184	100.00	100.00	184	WP_032488579.1	aminoglycoside N-acetyltransferase AAC(6')-Ib3	NA	NA
NA	contig_1	1874407	1874937	+	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	177	177	100.00	100.00	177	WP_000381802.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	NA	NA
NA	contig_1	1874998	1875792	+	aadA13	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	265	265	100.00	100.00	265	WP_001424636.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13	NA	NA
NA	contig_1	1875952	1876296	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
NA	contig_1	1876293	1877129	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
NA	contig_1	1879278	1879511	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	78	78	100.00	100.00	78	CAA77325.1	broad-spectrum mercury transporter MerE	NA	NA
NA	contig_1	1879511	1879873	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	121	121	100.00	100.00	121	ABF13034.1	mercury resistance co-regulator MerD	NA	NA
NA	contig_1	1879894	1881576	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	561	561	100.00	98.57	561	AAC38220.1	mercury(II) reductase	NA	NA
NA	contig_1	1881651	1881923	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	91	91	100.00	100.00	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	NA	NA
NA	contig_1	1881939	1882286	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	116	116	100.00	93.97	116	CAA70196.1	mercuric transport protein MerT	NA	NA
NA	contig_1	1882358	1882738	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	PARTIALX	127	144	88.19	96.85	127	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
NA	contig_1	1929154	1929576	-	ttgR	efflux transport transcriptional regulator TtgR	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	PARTIALX	141	210	67.14	97.16	141	AAK15050.1	efflux transport transcriptional regulator TtgR	NA	NA
NA	contig_1	1930041	1931192	+	ttgA	toluene efflux RND transporter periplasmic adaptor subunit TtgA	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	384	384	100.00	97.40	384	AAD39553.1	toluene efflux RND transporter periplasmic adaptor subunit TtgA	NA	NA
NA	contig_1	1931199	1934348	+	ttgB	multidrug efflux RND transporter permease subunit TtgB	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	1050	1050	100.00	98.67	1050	AAC38671.1	multidrug efflux RND transporter permease subunit TtgB	NA	NA
NA	contig_1	2822574	2823014	+	cadR	cadmium resistance transcriptional regulator CadR	plus	STRESS	METAL	CADMIUM	CADMIUM	BLASTX	147	147	100.00	99.32	147	AAK48830.1	cadmium resistance transcriptional regulator CadR	NA	NA
NA	contig_2	217666	218349	-	copR	heavy metal response regulator transcription factor CopR	plus	STRESS	METAL	COPPER	COPPER	BLASTX	228	231	98.70	95.18	228	ACL13561.1	heavy metal response regulator transcription factor CopR	NA	NA
