Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	contig_1	3390	4538	-	blaADC-154	extended-spectrum class C beta-lactamase ADC-154	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.00	100.00	383	WP_005138362.1	extended-spectrum class C beta-lactamase ADC-154	NA	NA
NA	contig_1	347893	349368	+	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.00	98.37	492	ACQ82816.1	multidrug efflux MFS transporter AmvA	NA	NA
NA	contig_1	915292	916113	+	blaOXA-78	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-78	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.00	100.00	274	WP_005139262.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-78	NA	NA
NA	contig_1	1171059	1171862	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIALX	268	429	62.47	99.63	268	ABO11759.2	fosfomycin efflux MFS transporter AbaF	NA	NA
NA	contig_1	1937190	1938437	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.00	97.60	416	ADY84088.1	nickel resistance MFS transporter NreB	NA	NA
NA	contig_1	2411977	2412762	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.00	98.47	262	WP_001279073.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	NA	NA
NA	contig_1	3580056	3581246	+	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	397	397	100.00	100.00	397	AKA30736.1	chloramphenicol efflux transporter CxpE	NA	NA
NA	contig_2	61146	61583	-	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTX	146	146	100.00	94.52	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
NA	contig_2	62801	63409	-	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTX	203	203	100.00	95.57	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
NA	contig_2	63502	64386	-	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTX	295	295	100.00	96.27	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
NA	contig_2	64492	65403	-	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTX	304	304	100.00	92.43	304	APX31172.1	heat resistance protein YfdX1	NA	NA
NA	contig_2	65429	65884	-	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	INTERNAL_STOP	152	152	100.00	97.37	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
NA	contig_2	66428	68215	-	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	PARTIALX	596	949	61.64	93.46	596	ASF80763.1	heat shock survival AAA family ATPase ClpK	NA	NA
