Sample	quast-N50	quast-Total_length	busco-complete	busco-complete_single_copy	busco-complete_duplicated	busco-fragmented	busco-missing	nanostat-Median_read_length_fastq	nanostat-Mean_read_length_fastq	nanostat-Read_length_N50_fastq	nanostat-Median_read_quality_fastq	nanostat-Mean_read_quality_fastq	nanostat-Number_of_reads_fastq	nanostat-Total_bases_fastq	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR8282751.draft	4871.218	4.98923																					
ERR8282751.fastq.gz																		0.973899480706379	51.0	7257.5391210571115	4999	20.0	0.12100899999999999
ERR8282751.filtered.fastq.gz																		0.3604382929642469	51.0	21625.124855824684	18999	20.0	0.0069359999999999995
ERR8282751.k2report															95.34313725490196	99.12053056516724	0.01441753171856978						
ERR8282751.polished	4872.774	4.99088																					
ERR8282751_filtered_NanoStats.txt								19657.0	21626.3	22579.0	13.9	13.8	6.936	150.000089									
ERR8282751_raw_NanoStats.txt								4898.0	7288.9	11490.0	12.7	11.9	121.009	882.028542									
short_summary.specific.bacteria_odb12.2.draft.txt			101.0	101.0	0.0	11.0	4.0																
short_summary.specific.bacteria_odb12.2.polished.txt			113.0	113.0	0.0	0.0	3.0																
short_summary.txt			113.0	113.0	0.0	0.0	3.0																
