Sample	quast-N50	quast-Total_length	busco-complete	busco-complete_single_copy	busco-complete_duplicated	busco-fragmented	busco-missing	nanostat-Median_read_length_fastq	nanostat-Mean_read_length_fastq	nanostat-Read_length_N50_fastq	nanostat-Median_read_quality_fastq	nanostat-Mean_read_quality_fastq	nanostat-Number_of_reads_fastq	nanostat-Total_bases_fastq	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR8282742.draft	6193.746	6.808263999999999																					
ERR8282742.fastq.gz																		0.1021137547227653	61.0	7809.1005820484015	4999	20.0	0.039172
ERR8282742.filtered.fastq.gz																		0.04309416074121941	61.0	16161.283451842275	12999	20.0	0.009282
ERR8282742.k2report															88.94634776987718	93.48200818789054	2.46714070243482						
ERR8282742.polished	6195.1	6.8102409999999995																					
ERR8282742_filtered_NanoStats.txt								13948.5	16160.5	17691.0	14.4	14.2	9.282	150.00132									
ERR8282742_raw_NanoStats.txt								5440.0	7835.1	12290.0	13.6	12.7	39.172000000000004	306.91484299999996									
short_summary.specific.bacteria_odb12.2.draft.txt			106.0	106.0	0.0	6.0	4.0																
short_summary.specific.bacteria_odb12.2.polished.txt			113.0	113.0	0.0	1.0	2.0																
short_summary.txt			113.0	113.0	0.0	1.0	2.0																
